


GOOGLE
207.46.192.45 msnbot-207-46-192-45.search.msn.com
65.52.110.22 msnbot-65-52-110-22.search.msn.com
207.46.13.206 msnbot-207-46-13-206.search.msn.com
157.55.17.200 msnbot-157-55-17-200.search.msn.com
157.55.16.55 msnbot-157-55-16-55.search.msn.com
65.52.108.58 msnbot-65-52-108-58.search.msn.com
157.55.17.149  msnbot-157-55-17-149.search.msn.com
65.52.110.190 msnbot-65-52-110-190.search.msn.com
65.52.110.199 msnbot-65-52-110-199.search.msn.com
65.52.111.245 msnbot-65-52-111-245.search.msn.com
65.52.109.153 msnbot-65-52-109-153.search.msn.com
65.52.109.152 msnbot-65-52-109-152.search.msn.com
65.52.109.146 msnbot-65-52-109-146.search.msn.com
65.52.104.19  msnbot-65-52-104-19.search.msn.com
207.46.13.49  msnbot-207-46-13-49.search.msn.com
207.46.13.93  msnbot-207-46-13-93.search.msn.com
207.46.13.145 msnbot-207-46-13-145.search.msn.com
207.46.13.146 msnbot-207-46-13-146.search.msn.com
157.55.16.11  msnbot-157-55-16-11.search.msn.com
157.55.17.147 msnbot-157-55-17-147.search.msn.com
207.46.13.99  msnbot-207-46-13-99.search.msn.com
65.52.108.24    msnbot-65-52-108-24.search.msn.com
65.52.109.9     msnbot-65-52-109-9.search.msn.com
65.52.109.194   msnbot-65-52-109-194.search.msn.com
207.46.204.191  msnbot-207-46-204-191.search.msn.com
157.55.17.103   msnbot-157-55-17-103.search.msn.com
207.46.13.118   msnbot-207-46-13-118.search.msn.com
207.46.199.37   msnbot-207-46-199-37.search.msn.com
65.52.104.10    msnbot-65-52-104-10.search.msn.com
65.52.108.142   msnbot-65-52-108-142.search.msn.com
65.52.108.146   msnbot-65-52-108-146.search.msn.com
65.52.108.199   msnbot-65-52-108-199.search.msn.com
157.55.18.24    msnbot-157-55-18-24.search.msn.com
157.56.92.141   msnbot-157-56-92-141.search.msn.com
157.56.93.227   msnbot-157-56-93-227.search.msn.com
207.46.13.169   msnbot-207-46-13-169.search.msn.com
207.46.204.175  msnbot-207-46-204-175.search.msn.com
207.46.204.177  msnbot-207-46-204-177.search.msn.com
207.46.204.234  msnbot-207-46-204-234.search.msn.com
65.52.104.20   msnbot-65-52-104-20.search.msn.com
65.52.110.13   msnbot-65-52-110-13.search.msn.com
157.55.16.220  msnbot-157-55-16-220.search.msn.com
157.55.16.222  msnbot-157-55-16-222.search.msn.com
157.55.17.192  msnbot-157-55-17-192.search.msn.com
207.46.13.148  msnbot-207-46-13-148.search.msn.com
65.52.109.199   msnbot-65-52-109-199.search.msn.com
65.55.52.119    msnbot-65-55-52-119.search.msn.com
65.55.52.117    msnbot-65-55-52-117.search.msn.com
65.55.52.116    msnbot-65-55-52-116.search.msn.com
65.55.52.115    msnbot-65-55-52-115.search.msn.com
65.55.52.113    msnbot-65-55-52-113.search.msn.com
65.55.52.111    msnbot-65-55-52-111.search.msn.com
65.55.52.97     msnbot-65-55-52-97.search.msn.com
65.55.52.96     msnbot-65-55-52-96.search.msn.com
157.55.16.99    msnbot-157-55-16-99.search.msn.com
157.55.33.40    msnbot-157-55-33-40.search.msn.com 
157.55.35.94    msnbot-157-55-35-94.search.msn.com
131.253.47.248  msnbot-131-253-47-248.search.msn.com
131.253.46.112  msnbot-131-253-46-112.search.msn.com
131.253.46.216  msnbot-131-253-46-216.search.msn.com
